rgi_id,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-04-03044,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03051,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03081,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01835,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01777,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01768,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01728,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01698,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01699,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01695,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03082,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01663,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01710,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01706,2.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01778,1.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01766,3.0,LE07_L1TP_028009_20000810_20200917_02_T1,2000-08-10,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03099,1.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03102,1.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03129,3.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00638,1.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00635,3.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01508,3.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01517,3.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01532,3.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03147,2.0,LE07_L1TP_031009_20000815_20200917_02_T1,2000-08-15,,Will Kochtitzky and Kaleigh Potter,
