rgi_id,auto_term,lake_cat,image_id,image_date,notes,inventory,contributor,contributor.1,contributor.2,contributor.3
RGI2000-v7.0-G-07-00857,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00858,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00859,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00860,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00861,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00862,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00863,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00864,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00865,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00866,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00867,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00868,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00869,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00870,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00871,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00872,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00873,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00874,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00875,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00876,1,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00877,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00878,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00879,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00880,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00881,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00882,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00883,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00884,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00885,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00886,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00887,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00888,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00889,9,3,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00890,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00891,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00892,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00893,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00894,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00895,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00896,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00897,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00898,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00899,1,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00900,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00901,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00902,1,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00903,9,0,LE07_L1TP_214004_20000817_20200917_02_T1,2000-08-17,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00904,1,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00905,1,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00906,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00907,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00908,9,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
RGI2000-v7.0-G-07-00909,1,0,LE07_L1TP_211005_20010628_20200917_02_T1,2001-06-28,,https://doi.org/10.1017/jog.2023.34,,McNabb,,McNabb
