rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-04803,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04804,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04805,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04806,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04807,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04808,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04809,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04810,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04811,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04812,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04813,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04814,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04815,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04816,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04817,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04818,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04819,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04820,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04821,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04822,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04823,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04824,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04825,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04826,1,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04827,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
